sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
118,黃胸藪眉,C-01,Liocichla steerii,2012,6667
122,黃胸藪眉,S-01,Liocichla steerii,2581,5642
123,臺灣山鷓鴣,S-03,Arborophila crudigularis,1525,2367
124,犬,C-01,Canis lupus familiaris,390,957
125,石虎,C-01,Prionailurus bengalensis,0,10000
126,小白鷺,C-01,Egretta garzetta,485,2963
132,栗背林鴝,C-01,Tarsiger johnstoniae,2784,4301
143,小彎嘴,S-02,Pomatorhinus musicus,805,1487
144,小彎嘴,S-03,Pomatorhinus musicus,1563,2853
152,臺灣竹雞,S-01,Bambusicola sonorivox,1269,2967
153,臺灣竹雞,S-02,Bambusicola sonorivox,2537,3548
159,臺灣叢樹鶯,S-01,Locustella alishanensis,2297,3775
167,大彎嘴,S-03,Megapomatorhinus erythrocnemis,1022,1907
182,臺灣噪眉,S-01,Trochalopteron morrisonianum,1988,3393
186,黃山雀,S-01,Machlolophus holsti,2121,6823
198,棕面鶯,S-01,Abroscopus albogularis,4661,4983
199,小雨燕,C-01,Apus nipalensis,3630,6189
