sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
120,¶À¯ÝÃÁ¬Ü,Cd-01,Liocichla steerii,1584,2678
121,¶À¯ÝÃÁ¬Ü,D-01,Liocichla steerii,2256,3854
122,¶À¯ÝÃÁ¬Ü,S-01,Liocichla steerii,2482,5855
123,»OÆW¤sÅÂÀl,S-03,Arborophila crudigularis,0,10000
124,¤ü,C-01,Canis lupus familiaris,400,920
125,¥Ûªê,C-01,Prionailurus bengalensis,0,10000
126,¤p¥ÕÆO,C-01,Egretta garzetta,0,10000
127,©]ÆO,C-01,Nycticorax nycticorax,1176,2079
128,±møf,S-01,Rostratula benghalensis,0,10000
129,«C¨¬øf,C-01,Tringa nebularia,0,10000
130,¤j¨ªÄÓ¹«,C-02,Petaurista philippensis,0,10000
131,¶À¯ÝÃÁ¬Ü,ST-01,Liocichla steerii,2069,4312
132,®ß­IªLì©,Ca-01,Tarsiger johnstoniae,1438,5813
133,®ß­IªLì©,Ca-02,Tarsiger johnstoniae,0,10000
134,®ß­IªLì©,Cb-01,Tarsiger johnstoniae,1160,5440
135,®ß­IªLì©,S-01,Tarsiger johnstoniae,2538,6792
136,®ß­IªLì©,S-02,Tarsiger johnstoniae,0,10000
137,®ß­IªLì©,S-03,Tarsiger johnstoniae,0,10000
138,®ß­IªLì©,S-04,Tarsiger johnstoniae,0,10000
139,®ß­IªLì©,S-05,Tarsiger johnstoniae,0,10000
140,®ß­IªLì©,S-06,Tarsiger johnstoniae,0,10000
141,¤pÅs¼L,C-01,Pomatorhinus musicus,1768,3635
142,¤pÅs¼L,S-01,Pomatorhinus musicus,820,2789
143,¤pÅs¼L,S-02,Pomatorhinus musicus,799,1710
144,¤pÅs¼L,S-03,Pomatorhinus musicus,1536,2832
145,¤pÅs¼L,S-04,Pomatorhinus musicus,1152,3452
146,¤pÅs¼L,S-05,Pomatorhinus musicus,0,10000
147,¤pÅs¼L,U-01,Pomatorhinus musicus,824,1262
148,»OÆW¦ËÂû,C-01,Bambusicola sonorivox,1151,2477
149,»OÆW¦ËÂû,Cb,Bambusicola sonorivox,838,1589
150,»OÆW¦ËÂû,Cc,Bambusicola sonorivox,1077,4672
151,»OÆW¦ËÂû,D-01,Bambusicola sonorivox,1172,3516
152,»OÆW¦ËÂû,S-01,Bambusicola sonorivox,1441,2982
153,»OÆW¦ËÂû,U-01,Bambusicola sonorivox,0,10000
154,ãn¯±Âû,C-01,Zapornia fusca,0,10000
155,ãn¯±Âû,C-02,Zapornia fusca,1085,1954
